"","x"
"1","TPM1"
"2","CLDN1"
"3","PSD3"
"4","NFKBIZ"
"5","SYTL2"
"6","TNC"
"7","PRICKLE1"
"8","TRIO"
"9","CXCL1"
"10","ITGB8"
"11","HDAC9"
"12","ITGA3"
"13","DCDC2"
"14","KCNQ3"
"15","MMP7"
"16","GULP1"
"17","DGKH"
"18","TMEM178B"
"19","NCEH1"
"20","STK39"
"21","MET"
"22","HS3ST1"
"23","TNFAIP2"
"24","FNDC3B"
"25","RBMS3"
"26","APP"
"27","MACC1"
"28","SAMD4A"
"29","SVIL"
"30","FOSL2"
"31","CYTOR"
"32","IL18"
"33","SGPP2"
"34","VMP1"
"35","IFNAR2"
"36","LMCD1"
"37","RAPGEF5"
"38","ANXA2"
"39","SEMA3C"
"40","MYO5B"
"41","KLF6"
"42","MIR4435-2HG"
"43","UGCG"
"44","DLGAP1"
"45","GLIS3"
"46","NT5DC3"
"47","PROM1"
"48","VCL"
"49","SOD2"
"50","ITGB6"
"51","CREB5"
"52","TNFSF10"
"53","PLEKHH2"
"54","ACTN1"
"55","FMNL2"
"56","HAVCR1"
"57","RASAL2"
"58","NRG3"
"59","TNFAIP8"
"60","PLSCR1"
"61","LRRFIP1"
"62","RTN4"
"63","RHEX"
"64","SLC35F3"
"65","LAMC1"
"66","MITF"
"67","PARD3"
"68","PTPRO"
"69","MICAL3"
"70","MYO1E"
"71","PLOD2"
"72","BICD1"
"73","ADAM10"
"74","SLCO3A1"
"75","ABTB2"
"76","KIF26B"
"77","BIRC3"
"78","GMDS"
"79","NAMPT"
"80","RETREG1"
"81","AGFG1"
"82","MAP4K4"
"83","LPP"
"84","DTNA"
"85","MACF1"
"86","NRCAM"
"87","EXT1"
"88","ENAH"
"89","GLS"
"90","HIF1A"
"91","CD2AP"
"92","PLCB4"
"93","AKAP12"
"94","TPK1"
"95","LRRFIP2"
"96","ITGAV"
"97","ZEB1"
"98","PAX8"
"99","CRIM1"
"100","NFKB1"
"101","GRIP1"
"102","TJP2"
"103","ARHGAP29"
"104","KAZN"
"105","LRCH1"
"106","DCBLD2"
"107","PRKD1"
"108","RNF144B"
"109","FRMD5"
"110","CXCL6"
"111","CASC15"
"112","ACSM3"
"113","CXCL2"
"114","CCL20"
"115","PTPRJ"
"116","CXCL3"
"117","KLHL29"
"118","TUBB3"
"119","BICC1"
"120","KLHL13"
"121","ABCB1"
"122","PLAU"
"123","CDH6"
"124","AC083837.1"
"125","MIR155HG"
"126","OXR1"
"127","PDGFC"
"128","COL4A1"
"129","ERFE"
"130","FGGY"
"131","MME"
"132","AC098588.3"
"133","PDZD2"
"134","PLG"
"135","ALDOB"
"136","CUBN"
"137","SLC16A9"
"138","SLC5A12"
"139","SLC22A6"
"140","GRAMD1B"
"141","EPB41L3"
"142","DCC"
"143","RNF152"
"144","SLC13A3"
"145","MSRA"
"146","RAB11FIP3"
"147","AGBL4"
"148","EBNA1BP2"
"149","CRYL1"
"150","ACSF2"
"151","AGXT2"
"152","AC016383.2"
"153","CYP4A11"
"154","MAP3K1"
"155","UPB1"
