"","x"
"1","AFF3"
"2","AUTS2"
"3","CCSER1"
"4","FLT3"
"5","SLC38A1"
"6","DMXL2"
"7","BACH2"
"8","ZEB1"
"9","PLCB1"
"10","ST18"
"11","VCAN"
"12","HLA-DQA1"
"13","MCOLN2"
"14","HLA-DQB1"
"15","CCDC26"
"16","NEAT1"
"17","HIP1"
"18","SLC41A2"
"19","CYTIP"
"20","HLA-DRA"
"21","VAV3"
"22","UVRAG"
"23","UST"
"24","DPYD"
"25","AHR"
"26","CACNA2D3"
"27","PHLPP1"
"28","DST"
"29","SEPTIN6"
"30","STK17A"
"31","RUNX2"
"32","CCDC6"
"33","ACSL1"
"34","PAK1"
"35","PID1"
"36","MS4A4E"
"37","ELMO1"
"38","STK17B"
"39","PDE7A"
"40","FCN1"
"41","CD163"
"42","P2RY14"
"43","HLA-DPB1"
"44","JAML"
"45","CIITA"
"46","DENND1B"
"47","ZEB2"
"48","HLA-DRB1"
"49","RPS6KA3"
"50","PSAP"
"51","CD83"
"52","NCKAP5"
"53","SLC11A1"
"54","MAML2"
"55","ENTPD1-AS1"
"56","NEGR1"
"57","NUBPL"
"58","FNDC3B"
"59","ITGAX"
"60","PALM2-AKAP2"
"61","DOCK10"
"62","RIPOR2"
"63","ZBTB46"
"64","RIN2"
"65","TBC1D22A"
"66","TBC1D9"
"67","TFEC"
"68","SLC1A3"
"69","XYLT1"
"70","TLR2"
"71","SIPA1L3"
"72","FCHO2"
"73","CD36"
"74","UGCG"
"75","MBNL1"
"76","SLC8A1"
"77","SLCO3A1"
"78","HDAC9"
"79","LRMDA"
"80","PIP4K2A"
"81","LRBA"
"82","VMP1"
"83","ALCAM"
"84","IL1R2"
"85","ANKRD44"
"86","TNFRSF1B"
"87","ZSWIM6"
"88","ATG7"
"89","ARHGAP24"
"90","KCNMA1"
"91","CAMK2D"
"92","PRDM16"
"93","MS4A7"
"94","SPIDR"
"95","ARHGAP26"
"96","F13A1"
"97","SAT1"
"98","DOCK4"
"99","FYB1"
"100","CD74"
"101","RGS1"
"102","HLA-DPA1"
"103","HLA-DRB5"
"104","PCNX2"
"105","USP53"
"106","FRMD4A"
"107","ADAM28"
"108","MRC1"
"109","BCL2"
"110","HERPUD1"
"111","CST3"
"112","TCF4"
"113","RPS19"
"114","TMSB4X"
"115","SRGAP1"
"116","MEF2C"
"117","DTNA"
"118","ATP8B4"
"119","RBM47"
"120","TMTC2"
"121","NAMPT"
"122","SLCO2B1"
"123","MSR1"
"124","ITM2B"
"125","CEBPD"
"126","ZFP36L2"
"127","PRKCB"
"128","ZFP36L1"
"129","GPRIN3"
"130","STK10"
"131","GPR155"
"132","FLT3"
"133","CCR6"
"134","CD1C"
"135","HLA-DQA1"
"136","BACH2"
"137","IDO2"
"138","CLEC10A"
"139","FCER1A"
