"","x"
"1","SELENOP"
"2","DAB2"
"3","NRP1"
"4","MAF"
"5","WWP1"
"6","CD163L1"
"7","F13A1"
"8","ITSN1"
"9","MS4A7"
"10","SLC9A9"
"11","LGMN"
"12","MTSS1"
"13","FRMD4B"
"14","MRC1"
"15","CD163"
"16","ME1"
"17","RNASE1"
"18","MAMDC2"
"19","PDGFC"
"20","SLCO2B1"
"21","STAB1"
"22","EDA"
"23","RGL1"
"24","COLEC12"
"25","NAV2"
"26","MAN1A1"
"27","SLC40A1"
"28","SGMS1"
"29","ARHGAP18"
"30","WLS"
"31","SPRED1"
"32","MS4A4A"
"33","VCAN"
"34","MYO5A"
"35","PEAK1"
"36","SORL1"
"37","MGAT5"
"38","HRH1"
"39","ITPR2"
"40","FCN1"
"41","AFF3"
"42","DISP1"
"43","PLCB1"
"44","SPATS2L"
"45","PSD3"
"46","STARD13"
"47","ITGA9"
"48","RNF150"
"49","SLC22A23"
"50","IGF1"
"51","ADAP2"
"52","SIGLEC1"
"53","EPS15"
"54","MERTK"
"55","THRB"
"56","ITGAX"
"57","ABCA1"
"58","NPL"
"59","TTN"
"60","NPAS3"
"61","FRMD4A"
"62","CMKLR1"
"63","FYN"
"64","CYTIP"
"65","CSGALNACT1"
"66","AP2A2"
"67","NFIA"
"68","SAMD4A"
"69","SNX6"
"70","TNS3"
"71","TCF12"
"72","PLXDC2"
"73","SFMBT2"
"74","MPPED2"
"75","FAM20A"
"76","ITPR1"
"77","FGF13"
"78","CD14"
"79","SESN1"
"80","C1QB"
"81","IL2RA"
"82","C1QA"
"83","PTPRM"
"84","CTSC"
"85","IQGAP2"
"86","SLC38A6"
"87","BNC2"
"88","TNFRSF21"
"89","ANKS1A"
"90","SNX9"
"91","C20orf194"
"92","SLC2A3"
"93","WDFY3"
"94","LPAR6"
"95","FOXO3"
"96","ARHGAP26"
"97","XYLT1"
"98","SLC1A3"
"99","MVB12B"
"100","TBC1D14"
"101","FAM13A"
"102","FCHO2"
"103","TMTC2"
"104","JAML"
"105","CSF1R"
"106","JAZF1"
"107","ARHGAP6"
"108","ENPP2"
"109","GNG2"
"110","KCNMA1"
"111","FCHSD2"
"112","PRKN"
"113","CR1"
"114","STON2"
"115","SLC8A1"
"116","FMN1"
"117","DIRC3"
"118","PID1"
"119","SH3RF3"
"120","NRIP1"
"121","TMCC1"
"122","ZDHHC14"
"123","KHDRBS2"
"124","ITGA4"
"125","ARHGAP5"
"126","TCF4"
"127","AUTS2"
"128","EPB41L3"
"129","TMEM131L"
"130","CDK14"
"131","FGD4"
"132","SOX5"
"133","LYST"
"134","DOCK8"
"135","ANKRD44"
"136","NAMPT"
"137","NIBAN1"
"138","DPYD"
"139","AOAH"
"140","CIITA"
"141","USP3"
"142","SSH2"
"143","CUX1"
"144","DOCK10"
"145","SIPA1L1"
"146","FHIT"
"147","RBPJ"
"148","FTH1"
"149","PTPRC"
"150","CAMK2D"
"151","ETV6"
"152","ACSL1"
"153","RTN1"
"154","CD83"
"155","CD36"
"156","DOCK4"
"157","CLEC12A"
"158","SULF2"
"159","SLC11A1"
"160","RIPOR2"
"161","FMNL2"
"162","SRGAP1"
"163","APPL2"
"164","ARHGAP24"
"165","MGAT4A"
"166","CSF3R"
"167","CD44"
"168","MSR1"
"169","ITM2B"
"170","PRKCB"
"171","ZFP36L1"
"172","ATP8B4"
"173","EPB41L2"
"174","BMP2K"
"175","LRRK2"
"176","IRAK3"
"177","SCLT1"
"178","FNDC3B"
"179","KYNU"
"180","RGS1"
"181","PCNX2"
"182","TANC2"
"183","GPRIN3"
"184","HLA-DQB1"
"185","ADGRB3"
"186","HLA-DRB1"
"187","BCL2"
"188","DMXL2"
"189","HERPUD1"
"190","SGK1"
"191","ZEB2"
"192","HLA-DQA1"
"193","HLA-DPB1"
"194","HLA-DRA"
"195","CCR2"
"196","ITGAL"
"197","ITGAX"
"198","FGFR1"
"199","CSF1R"
"200","LYZ"
