"","regions","cluster"
"1","chr1-1281030-1282436","healthy"
"2","chr1-1677446-1679178","healthy"
"3","chr1-1872998-1873524","healthy"
"4","chr1-1894336-1894882","healthy"
"5","chr1-1914252-1914686","healthy"
"6","chr1-1947464-1947826","healthy"
"7","chr1-2046495-2046771","healthy"
"8","chr1-2069888-2070250","healthy"
"9","chr1-2072021-2072424","healthy"
"10","chr1-2092023-2092521","healthy"
"11","chr1-2094057-2094471","healthy"
"12","chr1-2094952-2095296","healthy"
"13","chr1-2095587-2095895","healthy"
"14","chr1-2104247-2105458","healthy"
"15","chr1-2237754-2238197","healthy"
"16","chr1-2250434-2251225","healthy"
"17","chr1-2267224-2268093","healthy"
"18","chr1-2459691-2460552","healthy"
"19","chr1-2460801-2461374","healthy"
"20","chr1-3459485-3460471","healthy"
"21","chr1-3784911-3785731","healthy"
"22","chr1-3869252-3870325","healthy"
"23","chr1-3902939-3903661","healthy"
"24","chr1-6079332-6079638","healthy"
"25","chr1-6099431-6100096","healthy"
"26","chr1-6222554-6223173","healthy"
"27","chr1-6230833-6231232","healthy"
"28","chr1-6248894-6250354","healthy"
"29","chr1-6280773-6281569","healthy"
"30","chr1-6281606-6282197","healthy"
"31","chr1-6282452-6282957","healthy"
"32","chr1-6418289-6418655","healthy"
"33","chr1-6424545-6425617","healthy"
"34","chr1-6426392-6426912","healthy"
"35","chr1-6427272-6428125","healthy"
"36","chr1-6439891-6440933","healthy"
"37","chr1-6445852-6446547","healthy"
"38","chr1-6447279-6448222","healthy"
"39","chr1-6448239-6449451","healthy"
"40","chr1-6523562-6523881","healthy"
"41","chr1-6580585-6580995","healthy"
"42","chr1-6639955-6640495","healthy"
"43","chr1-6884494-6885012","healthy"
"44","chr1-6885331-6886078","healthy"
"45","chr1-6960290-6960659","healthy"
"46","chr1-7970886-7971431","healthy"
"47","chr1-8001569-8002178","healthy"
"48","chr1-8002402-8002766","healthy"
"49","chr1-8096078-8096454","healthy"
"50","chr1-8201043-8203479","healthy"
"51","chr1-8238656-8240143","healthy"
"52","chr1-8241185-8242002","healthy"
"53","chr1-8266306-8267599","healthy"
"54","chr1-8368968-8369354","healthy"
"55","chr1-8370486-8371245","healthy"
"56","chr1-8468621-8469046","healthy"
"57","chr1-8857024-8857463","healthy"
"58","chr1-9078661-9079622","healthy"
"59","chr1-9100134-9101048","healthy"
"60","chr1-9263739-9264261","healthy"
"61","chr1-9435900-9436640","healthy"
"62","chr1-9452325-9453079","healthy"
"63","chr1-9480059-9480547","healthy"
"64","chr1-9500736-9501604","healthy"
"65","chr1-9532530-9533244","healthy"
"66","chr1-9537809-9538366","healthy"
"67","chr1-9868226-9868502","healthy"
"68","chr1-9901258-9902431","healthy"
"69","chr1-10065144-10065733","healthy"
"70","chr1-10255824-10256442","healthy"
"71","chr1-10433003-10433679","healthy"
"72","chr1-10436571-10436942","healthy"
"73","chr1-10504323-10504665","healthy"
"74","chr1-10554164-10554611","healthy"
"75","chr1-10555430-10556548","healthy"
"76","chr1-10584967-10585580","healthy"
"77","chr1-10628643-10629294","healthy"
"78","chr1-10663559-10663992","healthy"
"79","chr1-11671195-11672126","healthy"
"80","chr1-11774366-11774650","healthy"
"81","chr1-11924966-11925226","healthy"
"82","chr1-11928181-11928629","healthy"
"83","chr1-11938831-11939522","healthy"
"84","chr1-11984580-11984792","healthy"
"85","chr1-12433038-12434057","healthy"
"86","chr1-12453271-12455146","healthy"
"87","chr1-12485327-12487108","healthy"
"88","chr1-12496074-12497088","healthy"
"89","chr1-12527385-12528903","healthy"
"90","chr1-12572782-12573530","healthy"
"91","chr1-15366004-15366702","healthy"
"92","chr1-15558783-15559961","healthy"
"93","chr1-15618381-15618657","healthy"
"94","chr1-15706765-15707109","healthy"
"95","chr1-15734929-15737220","healthy"
"96","chr1-15742216-15743254","healthy"
"97","chr1-15791992-15793304","healthy"
"98","chr1-15875899-15876734","healthy"
"99","chr1-16687233-16687737","healthy"
"100","chr1-16697169-16697453","healthy"
"101","chr1-16911594-16912050","healthy"
"102","chr1-17015877-17016309","healthy"
"103","chr1-17051994-17052281","healthy"
"104","chr1-17405623-17406508","healthy"
"105","chr1-17587900-17588681","healthy"
"106","chr1-17591866-17592465","healthy"
"107","chr1-17599206-17600356","healthy"
"108","chr1-18463926-18465227","healthy"
"109","chr1-18866280-18866670","healthy"
"110","chr1-18879011-18880266","healthy"
"111","chr1-18886025-18886655","healthy"
"112","chr1-18888062-18889072","healthy"
"113","chr1-18890671-18891192","healthy"
"114","chr1-19114627-19114891","healthy"
"115","chr1-19127807-19128204","healthy"
"116","chr1-19205858-19206184","healthy"
"117","chr1-19271750-19272505","healthy"
"118","chr1-19310023-19310388","healthy"
"119","chr1-19344238-19344749","healthy"
"120","chr1-19363625-19364185","healthy"
"121","chr1-19458477-19459271","healthy"
"122","chr1-19462882-19463671","healthy"
"123","chr1-19465961-19466612","healthy"
"124","chr1-19467367-19467679","healthy"
"125","chr1-19717300-19717782","healthy"
"126","chr1-19743713-19744727","healthy"
"127","chr1-19804832-19805372","healthy"
"128","chr1-19811249-19811514","healthy"
"129","chr1-19814152-19816589","healthy"
"130","chr1-19819640-19820066","healthy"
"131","chr1-19823790-19825638","healthy"
"132","chr1-20476942-20477254","healthy"
"133","chr1-20478079-20478311","healthy"
"134","chr1-21225286-21226120","healthy"
"135","chr1-21247574-21248255","healthy"
